区站号	年	月	日	20-20时降水量	平均2分钟风速	平均气温	最小相对湿度	经纬度	火灾标签
58238	2018	1	1	0	3.9	6.1	38	"118.54,31.56"	0
58238	2018	1	2	0	3.1	8.8	51	"118.54,31.56"	0
58238	2018	1	3	13.3	3.7	4.5	84	"118.54,31.56"	0
58238	2018	1	4	37.9	2.7	0.5	94	"118.54,31.56"	0
58238	2018	1	5	2.7	1.3	0.3	75	"118.54,31.56"	0
58238	2018	1	6	0.5	2.6	0.8	68	"118.54,31.56"	0
58238	2018	1	7	8.2	2.8	2.4	90	"118.54,31.56"	0
58238	2018	1	8	0	4.4	0.9	49	"118.54,31.56"	0
58238	2018	1	9	0	2.7	1.9	26	"118.54,31.56"	0
58238	2018	1	10	0	2.1	1.8	23	"118.54,31.56"	0
58238	2018	1	11	0	1.9	-0.5	27	"118.54,31.56"	1
58238	2018	1	12	0	0.7	-2.1	21	"118.54,31.56"	0
58238	2018	1	13	0	1.8	-0.2	24	"118.54,31.56"	0
58238	2018	1	14	0	1.9	3.6	30	"118.54,31.56"	0
58238	2018	1	15	0	2	6.6	25	"118.54,31.56"	0
58238	2018	1	16	1.3	1.9	8.3	46	"118.54,31.56"	0
58238	2018	1	17	0	1.6	6.6	60	"118.54,31.56"	0
58238	2018	1	18	0	1.8	5.9	64	"118.54,31.56"	0
58238	2018	1	19	0.5	1	6.4	71	"118.54,31.56"	0
58238	2018	1	20	0	0.8	6.6	61	"118.54,31.56"	0
58238	2018	1	21	3.5	1.8	6.4	71	"118.54,31.56"	0
58238	2018	1	22	0.3	1.8	6.6	61	"118.54,31.56"	0
58238	2018	1	23	0	3.3	3.6	67	"118.54,31.56"	0
58238	2018	1	24	0.6	3.4	-0.4	45	"118.54,31.56"	0
58238	2018	1	25	17.6	3.8	-1.8	66	"118.54,31.56"	0
58238	2018	1	26	0.9	3	-2.2	57	"118.54,31.56"	0
58238	2018	1	27	16.1	2.2	-2.2	70	"118.54,31.56"	0
58238	2018	1	28	2.6	3.3	-2	77	"118.54,31.56"	0
58238	2018	1	29	0	1.9	-2.6	58	"118.54,31.56"	0
58238	2018	1	30	0	1	-3.2	48	"118.54,31.56"	0
58238	2018	1	31	0	0.7	-0.6	37	"118.54,31.56"	0
58238	2018	2	1	0	1.2	-2	34	"118.54,31.56"	0
58238	2018	2	2	0	1.5	0.8	34	"118.54,31.56"	0
58238	2018	2	3	0	2.9	-1.7	32	"118.54,31.56"	0
58238	2018	2	4	0	1.5	-2.1	21	"118.54,31.56"	0
58238	2018	2	5	0	1.6	-0.1	27	"118.54,31.56"	1
58238	2018	2	6	0	1.9	-0.3	35	"118.54,31.56"	0
58238	2018	2	7	0	1.7	1.7	32	"118.54,31.56"	0
58238	2018	2	8	0	1.7	1.3	28	"118.54,31.56"	0
58238	2018	2	9	0	1.9	4.6	45	"118.54,31.56"	0
58238	2018	2	10	0	2.3	4.4	31	"118.54,31.56"	0
58238	2018	2	11	0	3.2	3	24	"118.54,31.56"	0
58238	2018	2	12	0	2.1	2.4	16	"118.54,31.56"	0
58238	2018	2	13	0	2.2	4.8	15	"118.54,31.56"	0
58238	2018	2	14	0	1.4	10.1	24	"118.54,31.56"	1
58238	2018	2	15	0	3.5	6.6	34	"118.54,31.56"	0
58238	2018	2	16	1.8	2.3	5	73	"118.54,31.56"	0
58238	2018	2	17	0	4.4	5.6	37	"118.54,31.56"	0
58238	2018	2	18	7.5	2.9	5.5	61	"118.54,31.56"	0
58238	2018	2	19	11.8	2.8	5.2	87	"118.54,31.56"	0
58238	2018	2	20	7.7	2.8	4.4	83	"118.54,31.56"	0
58238	2018	2	21	1.1	1.4	4.1	81	"118.54,31.56"	0
58238	2018	2	22	0	1.5	5.8	44	"118.54,31.56"	0
58238	2018	2	23	0	2.4	7.7	26	"118.54,31.56"	1
